## Support Vector Machine training set (CAD overlapping CRM Atlas) 
# crm_id: CRM id (of the CRM Atlas).
# chr, start, stop: genomic coordinates.
# CAD_CRMs: id(s) of CAD CRMs overlapping the CRM.
# {Meso, SM, VM, Meso_SM, VM_SM}: Does the CRM belong (1) or not (0) to the class {'Meso only', 'SM only', 'VM only', 'Meso and SM only', 'VM and SM only'}.   
# tin_2.4,..., Mef2_10.12: peak height  in condition of interest (i.e. ChIP log2 enrichment at peak). Values 0 if no peak reported.
crm_id	chr	start	stop	CAD_CRMs	Meso	VM	SM	CM	Meso_SM	VM_SM	tin_2.4	tin_4.6	tin_6.8	bin_6.8	bin_8.10	bin_10.12	twi_2.4	twi_4.6	twi_6.8	bap_6.8	mef2_2.4	mef2_4.6	mef2_6.8	mef2_8.10	mef2_10.12
501	2R	7310160	7310360	ths_Neu4_early_embryonic_enhancer_NR,ths_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	1.98	0	0	0	0	0	0	0	0
519	2R	7524756	7525181	otk_enhancer[FL]	0	1	0	0	0	0	0	0	1.46	2.77	2.87	2.91	0	0	0	1.4	0	0	0	0	0
7814	X	17952614	17952838	TnI_IRE_enhancer[FL]_NR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04	2.15
1714	3R	2691462	2691662	Scr_3.5SK	0	0	0	0	0	0	0	0	0	0	0	0	2.14	0	0	0	0	0	0	0	0
3312	3R	25093684	25093884	stg_b-B5.8_NR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06	0
6137	2L	15475634	15475834	sna_VA	1	0	0	0	0	0	0	0	0	0	0	0	2.38	0	0	0	0	0	0	0	0
1717	3R	2696654	2697045	Scr_5.6BB_NR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	2.11
3169	3R	21862509	21862709	E(spl)_m8_dl_mel,HLHm7_m7-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36	0	0	0
2300	3R	10415381	10415780	stumps_enhancer[FL]	0	0	0	0	1	0	2.09	2.94	1.52	0	0	0	2.6	3.63	1.35	0	0	2.26	0	0	0
3694	3L	2098335	2098584	Ket-2_enhancer[FL]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.79	0	1.21	2.03	0	0
2504	3R	12589843	12590207	Ubx_PRE_polycomb_response_element	0	0	0	0	0	0	1.85	2.74	1.67	0	0	0	1.66	1.48	0.84	1.17	0	1.44	1.53	0	0
3149	3R	21831765	21832299	HLHmbeta_enhancer	0	0	0	0	0	0	0	2.32	1.28	1.11	0	0	0	3.07	1.95	0	0	1.5	1.63	0.8	0
4093	3L	8645067	8645267	h_stripe1	0	0	0	0	0	0	0	0	0	0	0	0	1.72	0	0	0	0	0	0	0	0
3716	3L	2421365	2421565	CG13797_enhancer[FL]	1	0	0	0	0	0	0	0	0	0	0	0	1.11	0	0	0	0	0	0	0	0
7337	X	9539106	9539408	btd_RV-2ndB_NR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96	0	0	1.5	1.44	0	0
2920	3R	18452774	18452974	loco_1.3-GAL4_NR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0
6181	2L	16319751	16319951	cact_2_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65	0	0	0	0	0	0	0
5898	2L	11455702	11455902	salm_sal242S/P_NR	0	0	0	0	0	0	0	0	0	0	0	0	1.76	0	0	0	0	0	0	0	0
7543	X	13514008	13514383	CG12177_enhancer[FL]	0	0	0	0	0	0	0	1.91	0	0	0	0	2.58	3.27	1.13	0	0	0	0	0	0
1716	3R	2693998	2694198	Scr_3.5SK,Scr_5.6BB_NR,ftz_CE8024_NR	0	0	0	0	0	0	0	0	0	0	0	0	1.44	0	0	0	0	0	0	0	0
3473	3R	27530421	27530987	ttk_enhancer[FL]_NR	0	0	0	0	0	0	1.05	2.12	1.79	1.56	0	0	1.12	1.51	0.93	0	1.38	2.23	1.59	0	0
1477	2R	20561092	20561292	gsb-n_gsbnE	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74	0	0	0	0	0	0	0
1168	2R	16113078	16113295	bl_bl/Mir7_O-E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55	1.58
2541	3R	12747011	12747211	Abd-B_IAB8	0	0	0	0	0	0	0	0	0	0	0	0	1.98	0	0	0	0	0	0	0	0
6265	2L	18146428	18146628	socs36E-ecto_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	1.21	0	0	0	0	0	0	0	0
2506	3R	12596396	12596833	Ubx_dorsal_imaginal_disc_enhancer	0	0	0	0	0	0	0	1.93	0	1.61	0	0	0	1.87	0	1.45	0	0	0	0	0
3474	3R	27538853	27539053	ttk(late)_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	1.52	0	0	0	0	0	0	0	0	0
4474	3L	14041811	14042011	btl_P[B23],btl_P[B4]	0	0	0	0	0	0	0	0	0	0	0	0	1.18	0	0	0	0	0	0	0	0
2500	3R	12575840	12576123	Ubx_BXD-B,Ubx_BXD-C	0	0	0	0	0	0	0	1.61	0	0	0	0	0	2.29	0	0	0	2.16	1.61	0	0
6879	X	2840827	2841028	rst_F6_NR	0	0	0	0	0	0	0	0	0	1.47	0	0	0	0	0	0	0	0	0	0.87	0
7909	X	19547104	19547785	Meso18E_enhancer[FL]	0	0	1	0	0	0	0	1.7	1.15	0	0	0	1.37	2.505	1.9	0.87	0.91	2.1	2.53	1.28	1.57
5926	2L	12086934	12087134	prd_cc_repressor	0	0	0	0	0	0	0	0	0	0	0	0	1.54	0	0	0	0	0	0	0	0
726	2R	9758421	9758754	CG8503_enhancer[FL]	0	0	0	0	0	1	1.3	1.99	1.2	0	0	0	0	0	0	1.29	0	1.2	1.49	0	0
3147	3R	21825216	21825444	HLHmgamma_HZmgammaKX	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68	1.07	0	0	1.54	0	0	0
2505	3R	12591376	12591734	Ubx_pair-rule_(zebra)_like_S2_enhancer	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	1.58	0	1	0	0.82	1.31
2810	3R	17213275	17213545	bap_baplac4.5	0	1	0	0	0	0	0.87	1.64	0	0	0	0	0	0	0	1.34	0	0	0	0	0
6263	2L	18138739	18139170	socs36E-VM-SM_enhancer[FL]	0	0	0	0	0	1	0	0	0	1.54	0	0	0	0	0	0	0	1.03	0	0.86	0
7906	X	19515413	19515613	dome_dome-MESO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0
3071	3R	20123392	20123592	crb_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	1.82	0	0	0	0	0	0	0	0
6264	2L	18145757	18145957	socs36E-ecto_enhancer[FL]	0	0	0	0	0	0	1.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6180	2L	16319550	16319750	cact_2_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0
2812	3R	17216752	17217076	bap_bap3_NR	0	0	0	0	0	0	2.35	2.75	0	0	0	0	1.43	2.1	0	0	0	1.26	0	0	0
3168	3R	21861858	21862297	E(spl)_m8_dl_mel,HLHm7_m7-0.5,m5/m8_enhancer[FL]	0	0	0	0	0	0	1.15	2.01	1.31	0	0	0	1.76	2.29	1.61	0.97	0	1.79	1.62	0	0
6606	4	724609	724809	ey_ey12_NR	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95	0	0	0	0	0	0	0
1715	3R	2691663	2691863	Scr_3.5SK	0	0	0	0	0	0	1.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5786	2L	9189373	9189800	tai_enhancer[FL]	0	0	0	0	0	0	0	0	0	2.03	1.7	2.64	0	0	0	0	0	0	0.93	0	0
2979	3R	19124272	19124472	pnt_enhancer[FL]	0	0	0	0	0	0	0	0	0	2.07	0	0	0	0	0	0	0	0	0	0	0
3165	3R	21856174	21856579	m5_DE_enhancer[FL]	0	0	0	0	0	0	0	2.14	1.6	0	0	0	0	1.97	1.38	1.63	0	1.51	1.14	0	0
2813	3R	17218185	17218522	bap_bapDS3.5,bap_enhancer[FL]	0	1	0	0	0	0	0	0	0.98	1.84	0	0	0	2.32	0	0	0	1.31	0	0	0
2507	3R	12597745	12597945	Ubx_dorsal_imaginal_disc_enhancer	0	0	0	0	0	0	0	0	0	0	0	0	1.36	0	0	0	0	0	0	0	0
1035	2R	14186356	14186556	edl_PE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45	0	0	0	0	0	0
2499	3R	12571170	12571370	Ubx_2218S	1	0	0	0	0	0	0	0	0	0	0	0	0	1.71	0	0	0	0	0	0	0
5780	2L	9144861	9145061	CG32982_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	1.24	0	0	0	0	0	0	0	0
3170	3R	21865474	21865896	E(spl)_PNC,m8.2_enhancer[FL]	1	0	0	0	0	0	0	1.77	0	0	0	0	1.28	2.17	1.8	0	0	1.89	1.45	0	0
1708	3R	2671476	2671925	Scr_BSR	0	0	0	0	0	0	2.37	2.1	0	0	0	0	1.24	2.01	0	0.96	0.98	1.3	0	0	0
1836	3R	4526697	4526897	hb_HZ526	0	0	0	0	0	0	0	0	0	0	0	0	1.66	0	0	0	0	0	0	0	0
7953	X	20489049	20489249	run_neural_15GG	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1710	3R	2674428	2674628	Scr_BSR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22	0	0
3196	3R	22622474	22622766	Tl_600Rd	0	0	0	0	0	0	0	0	0	0	0	0	1.93	0	0	0	0	0	0	0	0.9
1685	3R	2561568	2561857	pb_2.1+pbZR_NR	1	0	0	0	0	0	0	0	0	0	0	0	1.25	2.27	0	0	0	0	0	0	0
5889	2L	11402770	11402970	salm_BI	0	0	0	0	0	0	0	0	0	0	0	2.31	0	0	0	0	0	0	0	0	0
470	2R	7041568	7042081	en_intron	0	0	0	0	0	0	1.41	1.97	1.19	0	0	0	1.34	1.5	0	1.7	0	1.4	0	0	0
1707	3R	2656088	2656288	Scr_8.2XX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17	0
2824	3R	17252457	17252720	lbl_enhancer_1[FL]	0	0	0	0	0	0	0	0	0	1.93	1.82	2.9	0	0	0	0	0	0	0	0.94	0
735	2R	9948102	9948472	phyl_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	1.35	2	1.21	0	0	0	0	0	0
2817	3R	17220676	17220876	bap_bapDS3.5	0	1	0	0	0	0	0	0	0	1.91	0	0	0	0	0	0	0	0	0	0	0
3310	3R	25088950	25089150	stg_HZ-BEa1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92	0	0	0
2176	3R	8895736	8896045	sim_enhancer_1[FL],sim_mesectoderm	0	0	0	0	0	0	0	0	0	0	0	0	2.23	2.11	0	0	0	0	0	0	0
1706	3R	2647895	2648305	Scr_6.7BB	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	2.02	1.31	1.41	1.5
5888	2L	11376620	11376820	salm_AL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24	0
3390	3R	26292160	26292533	PH4alpha_enhancer[FL]	0	0	0	0	0	0	0	0	0	1.92	0	1.75	0	0	0.89	0	0	0	0	0	0
2816	3R	17219506	17219797	bap_bapDS3.5,bap_enhancer[FL]	0	1	0	0	0	0	0	0	0	1.57	1.42	0	0	0	0	0	0	1.05	0	0	0
1356	2R	18553626	18553826	twi_PE_enhancer[FL],twi_dl_mel	1	0	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0
1169	2R	16115418	16115878	miR-7_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	2.56	2.62	2.07	0	0	1.42	1.21	0	0
4839	3L	18367274	18367474	rpr_4S1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16	0	0	0	0	0
6266	2L	18147347	18147727	socs36E-ecto_enhancer[FL]	0	0	0	0	0	0	1.63	2.48	1.37	0	0	0	2.03	2.16	1.1	0	0	1.76	1.64	0	0
578	2R	8462315	8462515	Mdr49_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	1.24	0	0	0	0	0	0	0	0
3311	3R	25089349	25089549	stg_HZ-BEa1.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
332	2R	5485610	5485915	eve_mas	1	0	0	0	0	0	0	0	0	0	0	0	1.92	1.67	0	0	0	0	0	0	0
335	2R	5497045	5497264	eve_MHE_NR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19	1.48	0
2821	3R	17228198	17228402	lbe_enhancer[FL]	0	0	0	0	1	0	0	0	0	1.06	0	1.95	0	0	0	0	0	0	0	0	0
334	2R	5495726	5495926	eve_stripe4_6	0	0	0	0	0	0	0	0	0	0	0	0	1.21	0	0	0	0	0	0	0	0
7336	X	9537841	9538041	btd_RV-2ndB_NR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16	0	0
2613	3R	13875845	13876198	htl_early,htl_enhancer[FL]	0	0	0	0	0	0	1.15	1.55	0	0	0	0	3.02	3.67	2.39	0	0	1.75	1.21	0	0
333	2R	5489419	5489619	eve_stripe2	0	0	0	0	0	0	0	0	0	0	0	0	1.99	0	0	0	0	0	0	0	0
1357	2R	18557428	18557920	twist_enhancer[FL]	0	0	0	0	1	0	1.67	2.63	1.59	0	0	0	2.65	2.38	1.83	0	1.23	1.88	1.26	0	0
6369	2L	19186139	19186339	drl_drlU	0	0	0	0	0	0	0	0	0	1.43	0	0	0	0	0	0	0	0	0	0	0
5019	3L	21001095	21001295	siz_loner/CG32434-PE	0	0	0	0	0	0	0	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0
6531	2L	21840673	21841262	tsh_del-1-5_NR	0	0	0	0	1	0	1.29	2.14	1.11	0	0	0	2.25	2.77	1.66	0	1.56	2.26	1.96	1.47	1.47
2515	3R	12637528	12637993	abd-A_iab-2(1.7)	0	0	0	0	0	0	0	0	1.07	0	0	0	0	1.78	1.05	0	0	0	1.13	0	0
2509	3R	12598858	12599058	Ubx_pbxPB	1	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0
4838	3L	18365326	18365718	rpr_4S5	0	0	0	0	0	0	1.48	2.39	1.63	1.19	0	0	0	1.71	0.98	0	0	1.64	1.57	1.02	0
1686	3R	2567623	2567935	pb_promoter	0	0	0	0	0	0	0	0	0	0	0	0	1.15	0	0.96	0	0	0	0	0	0
2837	3R	17392100	17392639	slou_enhancer[FL]	0	0	0	0	1	0	2.03	2.94	1.2	0	0	0	0	0	1.34	0	1.35	2.82	1.35	1.35	1.45
4994	3L	20633549	20633749	kni_-5_construct,kni_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	1.84	0	0	0	0	0	0	0	0
5018	3L	21000386	21000756	siz_loner/CG32434-PE	0	0	0	0	0	0	0.8	2.13	0	0	0	0	1.96	3.34	0.98	0	0	1.51	0	0	0
1415	2R	19379967	19380167	ken_enhancer[FL]	0	1	0	0	0	0	0	0	0	0	0	3.14	0	0	0	0	0	0	0	0	0
336	2R	5497279	5497517	eve_MHE_NR	0	0	0	0	0	0	1.69	0	1.19	0	0	0	0	0	0	0	0	0	0	0	0
4701	3L	16442606	16442806	argos_aos292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96	0	0
3846	3L	3997727	3997967	fd64A_enhancer[FL]	0	1	0	0	0	0	0	0	0	0	1.71	3.05	0	0	0	0	0	0	0	0	0
1396	2R	19146288	19146528	retn_enhancer[FL]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.67	0.95	0	0
4606	3L	15495863	15496063	CrebA_CrebA-770_NR	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0	0	0	0	0	0	0
1423	2R	19495459	19495659	Phm_enhancer[FL],Phm_mesoderm	1	0	0	0	0	0	0	0	0	0	0	0	2.28	0	0	0	0	0	0	0	0
1095	2R	14964727	14965492	betaTub56D_AS3_NR	0	0	0	0	0	0	0	1.53	0.94	1.7	0	0	1.37	2.28	1.46	0	1.08	1.93	1.45	0.87	0
2180	3R	9119250	9119450	WntD_enhancer[FL]	1	0	0	0	0	0	0	0	0	0	0	0	1.96	0	0	0	0	0	0	0	0
1444	2R	19817347	19817547	betaTub60D_beta3-14/vm1_NR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2.24	0	0
4099	3L	8720965	8721181	Prm_-1.7/-0.76_NR	0	0	0	0	0	1	0	0	0	0	0	1.59	0	0	0	0	0	0	0	0	2.19
1096	2R	14965752	14966119	betaTub56D_AS3_NR	0	0	0	0	0	0	0	1.67	0	0	0	0	1.66	2.41	1.16	0	0	1.54	0	0	0
7812	X	17949471	17949671	TnI_IRE_enhancer[FL]_NR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36
2823	3R	17249858	17250152	lbl_enhancer_2[FL]	0	0	0	1	0	0	1.18	0	1.64	0	0	0	0	0	0	0	0	0	0	0	0
2556	3R	12882226	12882544	Dad_enhancer[FL]	0	0	0	0	0	0	0	0	1.56	0	0	0	0	1.47	1.39	0.91	0	1.66	1.8	1.33	1.52
4607	3L	15496838	15497038	CrebA_CrebA-770_NR	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34	0	0	0	0	0	0	0
7621	X	15480998	15481198	sog-shadow_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	2.92	0	0	0	0	0	0	0	0
7811	X	17948817	17949017	TnI_IRE_enhancer[FL]_NR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46
1397	2R	19146734	19147110	retn_enhancer[FL]	0	0	0	0	1	0	1.72	2.59	0	0	0	0	2.97	3.12	1.24	0	0.98	1.87	0	0	0
3203	3R	22708601	22708932	T48_enhancer[FL]	1	0	0	0	0	0	0	0	0	0	0	0	1.93	2.96	1.46	0	0	0	0	0	0
6267	2L	18147899	18148099	socs36E-ecto_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28
1709	3R	2672512	2672817	Scr_BSR	0	0	0	0	0	0	0	0	0	0	0	0	1.64	2.21	0	0	0	0	0	0	0
3151	3R	21835699	21835941	malpha_PNC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64	0.79	0
2980	3R	19124599	19124815	pnt_enhancer[FL]	0	0	0	0	0	0	1.11	0	0	0	0	0	0	1.44	0	0	0	0	0	0	0
5294	2L	2183445	2183645	aop_A-lacZ	0	0	0	0	0	0	1.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4970	3L	20335785	20335985	trbl_enhancer[FL]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16
323	2R	5446992	5447484	Mef2_II-B[L]_NR	0	0	0	0	0	0	1.76	2.62	1.34	0	0	0	2.14	2.09	0	0	0.72	1.56	1.06	0	0
828	2R	11406268	11406468	sli_2.6_RV	0	0	0	1	0	0	0	0	0	0	0	1.66	0	0	0	0	0	0	0	0	0
143	2R	2934417	2934818	so_enhancer[FL]	0	0	0	0	0	1	0	0	0.94	2.51	1.5	2.17	0	0	0	0	0	0	0	0	0
7957	X	20504693	20505042	run_7stripe_reduced	0	0	0	0	0	0	0	0	0	0	0	0	1.68	0	0.96	0	0	1.88	1.66	1.26	1.6
4837	3L	18363626	18363984	rpr_1.2,rpr_4S7	0	0	0	0	0	0	0	0	1.13	0	0	0	0	0	0	0	0	0.9	1.26	0.88	0
326	2R	5449552	5450000	Mef2_-9117/-8079_enhancer[FL],Mef2_II-E	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1.1	0	1.45	1.78	1.18	1.46
5289	2L	2178968	2179358	aop_B-lacZ,aop_D-lacZ_NR	0	0	0	1	0	0	0	0	0	0	0	1.42	0	0	0	0	0	0	0	0	1.87
6646	X	218322	218522	sc_DC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29	0	0
5291	2L	2181980	2182476	aop_A-lacZ,aop_J-lacZ_NR	0	0	0	0	0	0	2	2.77	2.41	0	0	0	1.45	3.44	2.47	0.96	0	1.72	1.62	0	0
2488	3R	12526840	12527040	Ubx_BRE	1	0	0	0	0	0	0	0	0	0	0	0	1.75	0	0	0	0	0	0	0	0
3373	3R	26000550	26000777	Mlc2_enhancer[FL]	0	0	0	0	0	1	0	0	0	0	0	2.54	0	0	0	0	0	0	0	2.09	0
4482	3L	14138656	14138856	D_D/fsh_O-E	0	0	0	0	0	0	0	0	0	0	0	0	1.81	0	0	0	0	0	0	0	0
7958	X	20508909	20509109	run_6stripe_+1EE,run_6stripe_+3GG	0	0	0	0	0	0	0	0	0	0	0	0	1.58	0	0	0	0	0	0	0	0
3150	3R	21835280	21835640	malpha_PNC	0	0	0	0	0	0	0	1.96	2.39	2.23	1.09	0	0	0	0	1.95	1.46	0	0	0	0
2981	3R	19126000	19126494	pnt_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	2.12	2.05	1.48	0	0	0	0	0	0
6213	2L	16762522	16762722	Mhc_enhancer[FL]	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66
2961	3R	18955679	18955879	hh_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0
1691	3R	2581292	2581492	zen_1.4_NR	0	0	0	0	0	0	0	0	0	0	0	0	1.44	0	0	0	0	0	0	0	0
5401	2L	3820185	3820385	slp1_5-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0
5290	2L	2180666	2181124	aop_B-lacZ	0	0	0	0	0	0	1.28	2.41	0	0	0	0	1.32	2.93	1.81	1.08	0	1.94	1.43	0	0
327	2R	5450021	5450415	Mef2_-9117/-8079_enhancer[FL],Mef2_II-E	0	0	0	0	0	1	0	0	0	1.14	1.38	1.77	0	2.06	1.59	0	0	0	0	0	0
5409	2L	3829342	3829542	slp1_slp_B	0	0	0	0	0	0	0	0	0.69	0	0	0	0	0	0	0	0	0	0	0	0
1795	3R	4103393	4103593	ato_5'F9.3_NR	0	0	0	0	0	0	0	0	0	0	0	0	1.46	0	0	0	0	0	0	0	0
3471	3R	27528611	27528902	ttk_enhancer[FL]_NR	0	0	0	0	0	0	0	1.58	1.56	2.85	1.72	0	0	0	1.34	1.06	0	0	0	0	0
167	2R	3097259	3097603	blow_enhancer[FL]	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1.17	1.69	1.08	0
3152	3R	21835980	21836369	malpha_PNC	0	0	0	0	0	0	1.56	2.51	0	0	0	0	1.27	2.32	1.56	0	0	2.39	0	0	0
827	2R	11405882	11406157	sli_2.6_RV	0	0	0	1	0	0	1.18	0	0	0	0	0	1.46	1.69	0	0	0	1.05	0	0	0
5402	2L	3821689	3822287	slp1_5-3	0	0	0	0	0	0	1.42	1.83	0	0	0	0	1.98	2.53	0	0	0	1.23	0	0	0
300	2R	5220737	5221259	dap_dap-4'2'_NR	0	0	0	0	0	0	0	0	0.92	1.45	0	0	0	1.51	0	0	0	0	1.01	0	0
1443	2R	19816668	19817215	betaTub60D_beta3-14/vm1_NR	0	0	0	0	0	1	0	0	1.25	2.75	2.59	2.74	0	0	0	1.73	0	1.34	0	2.26	1.31
5787	2L	9190331	9190633	tai_enhancer[FL]	0	0	0	0	0	0	0	0	0.92	1.68	1.98	2.75	0	0	0	1.24	0	0	0	0	0
144	2R	2934867	2935132	so_enhancer[FL]	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.89	0	0	0	1.48	1.27	1.17
303	2R	5226387	5226587	dap_dap-del	0	0	0	0	0	0	0	0	0	0	0	0	2.33	0	0	0	0	0	0	0	0
9	2R	1217189	1217768	ap_ApME680	0	0	0	0	0	0	1.02	1.93	1.16	0	0	0	0	1.57	1.25	0	0	1.64	1.23	0	0
4024	3L	7344309	7344838	bhr_enhancer[FL]	0	0	0	0	0	0	0	1.62	1.1	0	0	0	1.45	1.67	1.51	0	0	1.25	1.29	0	0
